metric,corr_to_rel_perf,n
thruster,0.8334228714862147,7
bucket_thruster,0.8334228714862147,7
bucket_dumbbell,0.7560952031148821,6
db,0.7560952031148821,6
bucket_gym_pulling,0.6193308767305062,8
pull_up,0.5437442313166632,6
bar_muscle_up,0.5400435269242579,5
bucket_burpee,0.4425376965584499,6
burpee,0.4425376965584499,6
event_fit_score,0.30873683568851884,19
pct_workouts_touching_any_event_bucket,0.2784963602571974,19
pct_workouts_touching_any_event_movement,0.24195162885607327,19
bucket_squat,0.15727112405556692,13
double_under,-0.23273609716082422,5
bucket_double_under,-0.23273609716082422,5
chest_to_bar,-0.26830191377257806,6
bucket_snatch,-0.567867137910477,5
snatch,-0.567867137910477,5
bucket_gym_inversion,-0.6168900845966491,5
